graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,modulos_iniciados,modulos_finalizados,certificados,categoria
Especialização,UNIP,Analista Senior,Eletrodomesticos,1.0,1.0,1.0,6.0,Google,5.0,4.0,0.0,perfil6
MBA,Outros,Supervisor,e-commerce,0.0,0.0,1.0,6.0,Outros,36.0,34.0,0.0,perfil2
Bacharelado,UNICAMP,Outros,e-commerce,1.0,1.0,1.0,10.0,Saint Paul,27.0,27.0,0.0,perfil2
Bacharelado,UNIVERSIDADE NOVE DE JULHO,Gerente,Oleo e Gas,0.0,0.0,1.0,9.0,Outros,49.0,49.0,0.0,perfil2
Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Analista,Eletrodomesticos,1.0,1.0,1.0,3.0,Google,5.0,1.0,0.0,perfil6
Licenciatura,UFRN,Advogado,Oleo e Gas,0.0,0.0,1.0,2.0,Facebook,3.0,1.0,0.0,perfil6
Especialização,USP,Coordenador,Estado,1.0,1.0,1.0,4.0,Outros,20.0,19.0,0.0,perfil3
Especialização,Universidade Metodista de Sao Paulo,Advogado,Borracha,1.0,1.0,1.0,5.0,Mídia (revista/jornal/web),32.0,26.0,0.0,perfil2
Especialização,Outros,Coordenador,Eletrodomesticos,0.0,0.0,1.0,7.0,Outros,4.0,3.0,0.0,perfil6
SEM FORMAÇÃO,Outros,Diretor,Laminados,0.0,0.0,1.0,9.0,Minha empresa - benefício LITpass,9.0,6.0,0.0,perfil5
Especialização,UFSCar,Outros,Montadora,0.0,0.0,1.0,10.0,Minha empresa - benefício LITpass,16.0,11.0,0.0,perfil4
Bacharelado,UFPE,Supervisor,Siderurgica,1.0,1.0,1.0,5.0,Google,127.0,114.0,4.0,perfil1
Bacharelado,UNIP,Diretor,servicos,0.0,0.0,1.0,8.0,Saint Paul,5.0,2.0,0.0,perfil6
Tecnólogo,UNIP,Coordenador,Entretenimento,1.0,1.0,1.0,6.0,Instagram,5.0,3.0,0.0,perfil4
Especialização,Universidade Metodista de Sao Paulo,SEM EXPERIÊNCIA,Oleo e Gas,1.0,1.0,1.0,4.0,Instagram,17.0,7.0,0.0,perfil5
Licenciatura,Universidade Metodista de Sao Paulo,Advogado,Outros,1.0,1.0,1.0,5.0,YouTube,34.0,30.0,0.0,perfil6
SEM FORMAÇÃO,UNIP,Gerente,servicos,0.0,0.0,1.0,9.0,Facebook,2.0,1.0,0.0,perfil5
Tecnólogo,Outros,Outros,e-commerce,1.0,1.0,1.0,5.0,Instagram,68.0,53.0,0.0,perfil2
SEM FORMAÇÃO,FACULDADE ANHANGUERA,SEM EXPERIÊNCIA,Oleo e Gas,1.0,1.0,1.0,7.0,Outros,18.0,15.0,0.0,perfil3
Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Oleo e Gas,0.0,0.0,1.0,2.0,Minha empresa - benefício LITpass,12.0,8.0,0.0,perfil5
SEM FORMAÇÃO,Outros,Supervisor,Estado,1.0,1.0,1.0,9.0,Outros,18.0,15.0,0.0,perfil6
Tecnólogo,UEPB,Outros,Montadora,0.0,0.0,1.0,6.0,Outros,10.0,10.0,0.0,perfil4
Outros,UNIVERSIDADE NOVE DE JULHO,Analista,Estado,0.0,0.0,1.0,2.0,Outros,7.0,5.0,0.0,perfil5
Especialização,UFRJ,Analista,Estado,1.0,1.0,1.0,5.0,Outros,2.0,1.0,0.0,perfil6
Licenciatura,UFSCar,SEM EXPERIÊNCIA,e-commerce,1.0,1.0,1.0,3.0,Facebook,10.0,9.0,0.0,perfil6
Bacharelado,UEPB,Supervisor,Borracha,0.0,0.0,1.0,10.0,Saint Paul,12.0,9.0,0.0,perfil1
SEM FORMAÇÃO,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Coordenador,Borracha,0.0,0.0,1.0,2.0,Outros,2.0,1.0,0.0,perfil6
Bacharelado,UNICAMP,Diretor,Oleo e Gas,0.0,0.0,1.0,6.0,Instagram,10.0,10.0,0.0,perfil4
Licenciatura,USP,Outros,Eletroeletronicos,0.0,0.0,1.0,6.0,Instagram,26.0,16.0,0.0,perfil3
SEM FORMAÇÃO,USP,Gerente,Montadora,1.0,1.0,1.0,7.0,Mídia (revista/jornal/web),6.0,2.0,0.0,perfil6
SEM FORMAÇÃO,FGV-RJ,Advogado,Outros,1.0,1.0,1.0,2.0,Linkedin,58.0,57.0,0.0,perfil4
MBA,UNIP,Diretor,Montadora,0.0,0.0,1.0,8.0,Google,61.0,38.0,0.0,perfil2
Licenciatura,UFSCar,Advogado,Estado,0.0,0.0,1.0,8.0,YouTube,2.0,1.0,0.0,perfil6
SEM FORMAÇÃO,FGV-RJ,SEM EXPERIÊNCIA,servicos,1.0,1.0,1.0,3.0,Facebook,24.0,24.0,0.0,perfil2
SEM FORMAÇÃO,UNICAMP,Gerente,Laminados,0.0,0.0,1.0,7.0,Outros,7.0,5.0,0.0,perfil5
Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Assessor,Montadora,0.0,0.0,1.0,7.0,Minha empresa - benefício LITpass,91.0,71.0,0.0,perfil2
Outros,INSPER INSTITUTO DE ENSINO E PESQUISA,Diretor,Montadora,1.0,1.0,1.0,9.0,Google,5.0,3.0,0.0,perfil6
Especialização,UNICAMP,SEM EXPERIÊNCIA,servicos,1.0,1.0,1.0,5.0,Outros,2.0,1.0,0.0,perfil6
Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Eletroeletronicos,1.0,1.0,1.0,7.0,Saint Paul,17.0,12.0,0.0,perfil4
Bacharelado,UFRJ,Supervisor,Eletrodomesticos,1.0,1.0,1.0,4.0,Outros,12.0,8.0,0.0,perfil5
SEM FORMAÇÃO,UNICAMP,Advogado,Oleo e Gas,1.0,1.0,1.0,9.0,Facebook,37.0,36.0,1.0,perfil5
SEM FORMAÇÃO,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Analista Senior,Oleo e Gas,0.0,0.0,1.0,2.0,Outros,2.0,1.0,0.0,perfil6
Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Entretenimento,1.0,1.0,1.0,9.0,Outros,13.0,8.0,0.0,perfil5
SEM FORMAÇÃO,UFRN,Diretor,Laminados,0.0,0.0,1.0,6.0,Facebook,36.0,27.0,0.0,perfil2
Outros,FGV-RJ,Outros,Estado,1.0,1.0,1.0,7.0,Saint Paul,8.0,5.0,0.0,perfil5
Outros,UFSCar,Sócio/Dono/Proprietário,Siderurgica,1.0,1.0,1.0,3.0,Linkedin,2.0,1.0,0.0,perfil6
Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Diretor,Eletrodomesticos,0.0,0.0,1.0,2.0,Outros,3.0,1.0,0.0,perfil6
MBA,UEPB,Assessor,Entretenimento,0.0,0.0,1.0,10.0,Outros,3.0,1.0,0.0,perfil6
Tecnólogo,UNICAMP,SEM EXPERIÊNCIA,e-commerce,0.0,0.0,1.0,10.0,YouTube,5.0,3.0,0.0,perfil6
Licenciatura,FATEC,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,8.0,Facebook,1.0,1.0,0.0,perfil6
Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Coordenador,Estado,1.0,1.0,1.0,8.0,Linkedin,4.0,1.0,0.0,perfil6
Especialização,UEPB,Analista Senior,e-commerce,0.0,0.0,1.0,3.0,Outros,44.0,33.0,0.0,perfil2
Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Entretenimento,1.0,1.0,1.0,2.0,Instagram,5.0,3.0,0.0,perfil2
Licenciatura,UFRN,Diretor,Montadora,0.0,0.0,1.0,3.0,Google,14.0,12.0,0.0,perfil4
Especialização,UEPB,Diretor,Borracha,0.0,0.0,1.0,4.0,Minha empresa - benefício LITpass,10.0,8.0,0.0,perfil5
Outros,Escola Paulista de Direito,Outros,Eletroeletronicos,1.0,1.0,1.0,7.0,YouTube,2.0,2.0,0.0,perfil6
SEM FORMAÇÃO,FACULDADE ANHANGUERA,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,7.0,Saint Paul,179.0,168.0,4.0,perfil3
Bacharelado,UFF,Engenheiro,Eletroeletronicos,0.0,0.0,1.0,10.0,Outros,4.0,3.0,0.0,perfil6
