graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,modulos_iniciados,modulos_finalizados,certificados,categoria
1,14,2,1,1.0,1.0,1.0,6.0,1,5.0,4.0,0.0,perfil6
3,6,10,10,0.0,0.0,1.0,6.0,6,36.0,34.0,0.0,perfil2
0,13,8,10,1.0,1.0,1.0,10.0,7,27.0,27.0,0.0,perfil2
0,17,7,7,0.0,0.0,1.0,9.0,6,49.0,49.0,0.0,perfil2
6,18,1,1,1.0,1.0,1.0,3.0,1,5.0,1.0,0.0,perfil6
2,11,0,7,0.0,0.0,1.0,2.0,0,3.0,1.0,0.0,perfil6
1,19,4,4,1.0,1.0,1.0,4.0,6,20.0,19.0,0.0,perfil3
1,21,0,0,1.0,1.0,1.0,5.0,5,32.0,26.0,0.0,perfil2
1,6,4,1,0.0,0.0,1.0,7.0,6,4.0,3.0,0.0,perfil6
5,6,5,5,0.0,0.0,1.0,9.0,4,9.0,6.0,0.0,perfil5
1,12,8,6,0.0,0.0,1.0,10.0,4,16.0,11.0,0.0,perfil4
0,9,10,9,1.0,1.0,1.0,5.0,1,127.0,114.0,4.0,perfil1
0,14,5,11,0.0,0.0,1.0,8.0,7,5.0,2.0,0.0,perfil6
6,14,4,3,1.0,1.0,1.0,6.0,2,5.0,3.0,0.0,perfil4
1,21,9,7,1.0,1.0,1.0,4.0,2,17.0,7.0,0.0,perfil5
2,21,0,8,1.0,1.0,1.0,5.0,8,34.0,30.0,0.0,perfil6
5,14,7,11,0.0,0.0,1.0,9.0,0,2.0,1.0,0.0,perfil5
6,6,8,10,1.0,1.0,1.0,5.0,2,68.0,53.0,0.0,perfil2
5,2,9,7,1.0,1.0,1.0,7.0,6,18.0,15.0,0.0,perfil3
0,16,11,7,0.0,0.0,1.0,2.0,4,12.0,8.0,0.0,perfil5
5,6,10,4,1.0,1.0,1.0,9.0,6,18.0,15.0,0.0,perfil6
6,7,8,6,0.0,0.0,1.0,6.0,6,10.0,10.0,0.0,perfil4
4,17,1,4,0.0,0.0,1.0,2.0,6,7.0,5.0,0.0,perfil5
1,10,1,4,1.0,1.0,1.0,5.0,6,2.0,1.0,0.0,perfil6
2,12,9,10,1.0,1.0,1.0,3.0,0,10.0,9.0,0.0,perfil6
0,7,10,0,0.0,0.0,1.0,10.0,7,12.0,9.0,0.0,perfil1
5,16,4,0,0.0,0.0,1.0,2.0,6,2.0,1.0,0.0,perfil6
0,13,5,7,0.0,0.0,1.0,6.0,2,10.0,10.0,0.0,perfil4
2,19,8,2,0.0,0.0,1.0,6.0,2,26.0,16.0,0.0,perfil3
5,19,7,6,1.0,1.0,1.0,7.0,5,6.0,2.0,0.0,perfil6
5,4,0,8,1.0,1.0,1.0,2.0,3,58.0,57.0,0.0,perfil4
3,14,5,6,0.0,0.0,1.0,8.0,1,61.0,38.0,0.0,perfil2
2,12,0,4,0.0,0.0,1.0,8.0,8,2.0,1.0,0.0,perfil6
5,4,9,11,1.0,1.0,1.0,3.0,0,24.0,24.0,0.0,perfil2
5,13,7,5,0.0,0.0,1.0,7.0,6,7.0,5.0,0.0,perfil5
2,5,3,6,0.0,0.0,1.0,7.0,4,91.0,71.0,0.0,perfil2
4,5,5,6,1.0,1.0,1.0,9.0,1,5.0,3.0,0.0,perfil6
1,13,9,11,1.0,1.0,1.0,5.0,6,2.0,1.0,0.0,perfil6
6,15,8,2,1.0,1.0,1.0,7.0,7,17.0,12.0,0.0,perfil4
0,10,10,1,1.0,1.0,1.0,4.0,6,12.0,8.0,0.0,perfil5
5,13,0,7,1.0,1.0,1.0,9.0,0,37.0,36.0,1.0,perfil5
5,0,2,7,0.0,0.0,1.0,2.0,6,2.0,1.0,0.0,perfil6
0,16,11,3,1.0,1.0,1.0,9.0,6,13.0,8.0,0.0,perfil5
5,11,5,5,0.0,0.0,1.0,6.0,0,36.0,27.0,0.0,perfil2
4,4,8,4,1.0,1.0,1.0,7.0,7,8.0,5.0,0.0,perfil5
4,12,11,9,1.0,1.0,1.0,3.0,3,2.0,1.0,0.0,perfil6
6,0,5,1,0.0,0.0,1.0,2.0,6,3.0,1.0,0.0,perfil6
3,7,3,3,0.0,0.0,1.0,10.0,6,3.0,1.0,0.0,perfil6
6,13,9,10,0.0,0.0,1.0,10.0,8,5.0,3.0,0.0,perfil6
2,3,11,7,1.0,1.0,1.0,8.0,0,1.0,1.0,0.0,perfil6
6,15,4,4,1.0,1.0,1.0,8.0,3,4.0,1.0,0.0,perfil6
1,7,2,10,0.0,0.0,1.0,3.0,6,44.0,33.0,0.0,perfil2
1,16,3,3,1.0,1.0,1.0,2.0,2,5.0,3.0,0.0,perfil2
2,11,5,6,0.0,0.0,1.0,3.0,1,14.0,12.0,0.0,perfil4
1,7,5,0,0.0,0.0,1.0,4.0,4,10.0,8.0,0.0,perfil5
4,1,8,2,1.0,1.0,1.0,7.0,8,2.0,2.0,0.0,perfil6
5,2,11,7,1.0,1.0,1.0,7.0,7,179.0,168.0,4.0,perfil3
0,8,6,2,0.0,0.0,1.0,10.0,6,4.0,3.0,0.0,perfil6
6,20,1,2,0.0,0.0,1.0,2.0,5,4.0,1.0,0.0,perfil6
1,2,5,9,1.0,1.0,1.0,2.0,3,3.0,1.0,0.0,perfil6
1,12,8,0,0.0,0.0,1.0,10.0,6,36.0,34.0,1.0,perfil4
0,12,6,11,0.0,0.0,1.0,9.0,6,16.0,8.0,0.0,perfil5
4,17,6,10,1.0,1.0,1.0,9.0,4,175.0,170.0,0.0,perfil2
0,16,7,1,1.0,1.0,1.0,3.0,7,29.0,28.0,1.0,perfil1
2,14,9,6,1.0,1.0,1.0,4.0,2,12.0,11.0,0.0,perfil4
0,4,7,7,0.0,0.0,1.0,2.0,1,18.0,13.0,0.0,perfil4
2,11,7,6,0.0,0.0,1.0,4.0,8,25.0,20.0,0.0,perfil6
3,11,7,2,1.0,1.0,1.0,9.0,2,7.0,7.0,0.0,perfil5
2,7,10,8,1.0,1.0,1.0,9.0,6,10.0,7.0,0.0,perfil5
3,8,8,4,0.0,0.0,1.0,8.0,5,21.0,15.0,0.0,perfil3
6,10,5,8,1.0,1.0,1.0,8.0,4,96.0,77.0,0.0,perfil2
3,10,8,3,0.0,0.0,1.0,5.0,3,6.0,6.0,0.0,perfil5
1,18,10,3,1.0,1.0,1.0,10.0,5,119.0,91.0,1.0,perfil1
1,6,6,9,0.0,0.0,1.0,8.0,4,42.0,34.0,0.0,perfil4
5,17,8,10,0.0,0.0,1.0,5.0,7,142.0,135.0,2.0,perfil1
6,2,8,4,1.0,1.0,1.0,6.0,3,81.0,76.0,0.0,perfil2
1,7,11,6,0.0,0.0,1.0,4.0,4,81.0,78.0,0.0,perfil2
3,15,7,4,1.0,1.0,1.0,5.0,7,30.0,28.0,1.0,perfil1
5,5,3,8,1.0,1.0,1.0,7.0,2,16.0,11.0,0.0,perfil4
3,8,3,11,0.0,0.0,1.0,9.0,6,118.0,105.0,0.0,perfil2
6,9,5,9,0.0,0.0,1.0,6.0,1,144.0,34.0,0.0,perfil2
